name,created_at,updated_at,midpoint_fom_20220315,baseline_fom_20220315,skylab_uuid
1643907426_shape_20220203_16.15.42_5c6b,2022-02-03T17:01:42.593352,2022-05-25T19:39:09.173956,-78.94191725004657,-67.59534079401398,b9c6b534-c365-43c8-bd22-6659c4cec81c
1649267449_shape_20220406_17.21.46_5c6b,2022-04-06T17:53:08.559467,2022-05-25T19:39:14.226667,-4.247588733731939,-3.522989081152062,ba525f13-5ac1-4980-9c6e-8980969ace02
1651462398_shape_20220502_03.01.31_5c6b,2022-05-02T03:35:53.162029,2022-05-25T19:39:20.092082,-9.618395604205773,-10.112085140422595,ba65fc28-fb1b-457c-9a99-26b94b2a161e
1643312896_shape_20220127_19.07.34_5c6b,2022-01-27T19:53:00.871773,2022-05-25T19:39:28.395007,-54.302048211523235,-47.2589310988044,ba6ab11f-dc3d-43fc-8353-67cca8edb055
1649676009_shape_20220411_10.47.19_5c6b,2022-04-11T11:22:28.923847,2022-05-25T19:39:34.415829,-9.603305993123286,-9.065469056267759,ba8f4d5c-6adb-43fb-8d2d-824038121616
1647854594_shape_20220321_07.00.10_5c6b,2022-03-21T09:27:03.422922,2022-05-25T19:39:40.267664,-21.554062791765602,-6.778810492110288,bad4bdf9-d5bb-40d8-8c58-d0e784af79e1
1646160024_shape_20220301_18.12.46_5c6b,2022-03-01T18:43:01.941178,2022-05-25T19:39:45.897651,-29.070286090580815,-3.0650425058577713,baf8f6b5-c725-4bc4-9e93-17281b2a5b3a
1643893165_shape_20220203_12.19.21_5c6b,2022-02-03T13:03:45.772537,2022-05-25T19:39:50.801296,-100.41496968077327,-89.74951854072982,bb06206b-74c9-4dce-b8b6-559f6c456936
1649959207_shape_20220414_17.25.41_5c6b,2022-04-14T18:02:26.159718,2022-05-25T19:39:55.929446,-10.57983835659684,-11.037419896322463,bb50eeed-5d05-4e76-a9af-4e53a0e1c9b4
1650043102_shape_20220415_16.45.48_5c6b,2022-04-15T17:20:38.950033,2022-05-25T19:40:02.537478,-10.545774820795272,-9.361430087688493,bb52a36a-305e-4a9b-9ad9-f6e70d136304
1645784321_shape_20220225_09.51.12_5c6b,2022-02-25T10:21:06.138427,2022-05-25T19:40:08.153605,-28.07530542713008,-1.9389653912176363,bb57f339-f6cd-4b98-b2d7-56ded4597ee8
1643144580_shape_20220125_20.26.32_5c6b,2022-01-25T21:06:59.429369,2022-05-25T19:40:14.461752,-24.698346798608625,-15.777603852276796,bb964a11-bbeb-4254-94b6-f046f171b434
1651377151_shape_20220501_03.20.43_5c6b,2022-05-01T03:55:04.539862,2022-05-25T19:40:20.241920,-10.509520951774206,-11.665935583180588,bc09cc42-556d-4bac-8812-df1396b6a6f4
1651578952_shape_20220503_11.20.08_5c6b,2022-05-03T11:58:34.990937,2022-05-25T19:40:25.530906,-10.296397696365366,-11.326589608067176,bc0fcafd-7ed2-414a-80a5-f2668720769c
1642773153_shape_20211215_18.36.48_5c6b,2022-01-21T13:55:03.600242,2022-05-25T19:40:30.739081,-298.07994224558854,-286.5262769715091,bc1ca4fa-3f52-470c-9701-62e80e35b052
1651953240_shape_20220507_19.23.41_5c6b,2022-05-07T19:56:46.137033,2022-05-25T19:40:36.595133,-14.644372060573549,-7.024403848389247,bc1ce331-9302-4877-b402-ff81ae470eba
1648495521_shape_20220328_16.26.42_5c6b,2022-03-28T19:29:13.762511,2022-05-25T19:40:42.006387,-20.16979745288906,-3.352367829977225,bc572ea7-b874-4453-b521-dc904158f309
1650991482_shape_20220426_16.12.18_5c6b,2022-04-26T16:47:10.340341,2022-05-25T19:40:48.513723,-10.892709032235967,-11.812045254073123,bc5fd72d-50f9-489d-995d-d1c05f5f748e
1647446131_shape_20220316_15.06.53_5c6b,2022-03-16T15:59:29.804764,2022-05-25T19:40:53.793676,-53.817968898306574,-50.96929614026174,bc6df47b-faac-4c56-95ad-2d9393c33491
1645808044_shape_20220225_16.26.21_5c6b,2022-02-25T16:56:48.870428,2022-05-25T19:40:59.288747,-28.1964152265637,-2.026601315099081,bca3c944-3b0b-4a10-b81d-32aa4b10c517
1651241985_shape_20220429_13.49.50_5c6b,2022-04-29T14:22:19.211899,2022-05-25T19:41:04.472855,-13.03180211607847,-12.976607266593861,bcf1dbbf-1137-47dd-be44-bb53746327b0
1647349337_shape_20220315_10.34.07_5c6b,2022-03-15T13:06:02.642503,2022-05-25T19:41:09.885897,-40.922374153367535,-34.38341906731407,bcfd4030-2b47-4590-a952-9e1825528a0e
1643754211_shape_20220201_21.42.43_5c6b,2022-02-01T22:27:44.954727,2022-05-25T19:41:15.347955,-147.64808901803255,-136.7960635182792,bd5a969c-0469-4e0c-ac93-ca5b9719d395
1649337331_shape_20220407_12.44.02_5c6b,2022-04-07T13:17:50.602956,2022-05-25T19:41:20.570649,-11.062228335954,-11.91556862738106,bd995669-bf95-4349-9743-89f1cbd7747b
1644018574_shape_20220204_23.10.01_5c6b,2022-02-04T23:54:00.139599,2022-05-25T19:41:25.616768,-89.32299657699976,-77.32424379896842,be07653c-7d63-4982-afbd-6153604aeb55
1642848675_shape_20211218_03.06.01_5c6b,2022-01-22T10:53:35.944341,2022-05-25T19:41:30.860630,-61.38250269744901,-47.53530091036055,be95fa78-72a7-47f0-b7fd-556f2eed4876
1649597088_shape_20220410_12.53.37_5c6b,2022-04-10T13:27:10.068669,2022-05-25T19:41:36.099304,-10.539359379596844,-10.3423447772327,bf06ce72-b3a2-4328-9858-b1a5b7df4a68
1651591865_shape_20220503_14.59.59_5c6b,2022-05-03T15:33:43.323203,2022-05-25T19:41:42.049345,-11.534958305654563,-10.989670559070332,bf07bfaf-5d4d-4786-be62-5cbbf95c22f5
1649590417_shape_20220410_11.00.06_5c6b,2022-04-10T11:35:59.214650,2022-05-25T19:41:47.561093,-11.086807400646748,-10.72126279531837,bf1f3595-7b8a-411b-b356-423ec4585b0a
1643889622_shape_20220203_11.19.21_5c6b,2022-02-03T12:04:37.458948,2022-05-25T19:41:53.120408,-33.940763437090325,-20.960433960957523,bf4e47af-05cd-4408-9185-047b614162b1
1652021686_shape_20220508_14.23.58_5c6b,2022-05-08T14:57:33.589034,2022-05-25T19:41:58.743232,-13.137838495395608,-4.609592451670077,bf87b757-ab87-4e47-aaeb-febc781bac0f
1651261166_shape_20220429_19.06.47_5c6b,2022-04-29T19:41:58.841861,2022-05-25T19:42:04.909787,-9.777181137658626,-11.322201500525551,bfbcae82-af17-4ddb-9b87-39896b37f75f
1645771367_shape_20220225_06.10.59_5c6b,2022-02-25T06:45:15.533756,2022-05-25T19:42:10.744253,-20.284633734217735,-16.093156296079133,bfc69140-0d90-4b61-9608-b8defd502826
1650075909_shape_20220416_01.54.39_5c6b,2022-04-16T02:27:29.249109,2022-05-25T19:42:15.890385,-15.454691593118813,-13.22382805420842,c0e0ee43-cdc3-4ed3-b1bb-497604b2e6fa
1648416034_shape_20220327_20.37.52_5c6b,2022-03-27T21:24:22.606921,2022-05-25T19:42:21.518835,-18.330590535197615,-1.5858544815987172,c10c9d05-6a05-4051-809d-254dc65de9a0
